Group,Customer_Segment,Sales_Before,Sales_After,Customer_Satisfaction_Before,Customer_Satisfaction_After,Purchase_Made
Control,Medium Value,152.52354561634357,176.23111822894197,64.39445158872381,72.16860239546163,Yes
Control,Medium Value,230.6858975658136,265.71879577364706,76.37909996676464,79.15259284976347,No
Treatment,Medium Value,214.95098700485877,341.87195530101326,75.94589281552263,92.84789984371396,Yes
Treatment,Low Value,220.2403116221723,334.02441838005063,66.50122013060285,51.28299744465096,Yes
Treatment,Medium Value,324.5249587701134,509.8624151458708,57.30177397441525,68.42506975424197,No
Treatment,Medium Value,226.14770523810603,337.69253977676874,84.49841412929993,91.1940569740124,Yes
Treatment,High Value,181.05122638082773,287.81346328483,93.41854482060914,73.9214486470527,Yes
Treatment,Medium Value,263.1431143279257,409.97077881343097,71.44030034656885,72.24065480787068,Yes
Treatment,Medium Value,162.5573431467091,261.36898838703297,69.89900239441975,82.96803380302984,No
Treatment,Medium Value,290.7317002625238,459.33297908823977,71.56058127300473,79.33711623317397,No
Control,Low Value,92.79724429016778,109.08187677223847,53.31087547884505,63.07587696605077,No
Treatment,High Value,181.70724310669885,278.0682759178205,66.17145716927698,61.77044572384455,Yes
Control,Medium Value,233.06358814448433,281.19824457575476,72.57037971949434,89.10679226693156,Yes
Treatment,Medium Value,261.2833945002702,403.05320561737074,70.2506742503545,68.76589256536491,Yes
Treatment,High Value,198.59641751754452,280.449687099285,78.54906779692551,68.3884223432694,Yes
Control,Medium Value,158.2742140188722,187.7773205214316,70.99898661516393,98.14589769500581,Yes
Treatment,Low Value,189.97516835603682,289.6766784898028,61.588661731451275,72.27446841364849,No
Control,Medium Value,297.45926564783247,353.23023826079424,64.72796440210729,88.5601169230022,Yes
Treatment,Low Value,107.5167867260235,169.3448132983061,44.03411012296303,47.42791735391363,No
Treatment,Low Value,172.98388248336013,278.2455652132549,48.24390996665973,57.36999578973897,No
Control,Medium Value,218.9919548925124,273.6186658654013,49.338143217771425,66.11109156156186,Yes
Treatment,High Value,183.0385172873233,289.1907770405759,100.0,100.0,Yes
Control,Low Value,142.00081095704527,166.70503309247516,46.870950935787995,38.30241537693711,Yes
Treatment,High Value,217.3711453820713,346.94854357735,100.0,100.0,No
Control,Medium Value,209.9688218117914,242.22829534334144,58.102380682978875,68.52570135356255,No
Control,Low Value,175.95117208385503,206.90702418372487,49.48909300843242,56.46589147147654,No
Treatment,Medium Value,286.53615153303923,444.55340445508034,72.10321900697578,77.63181866119676,No
Treatment,High Value,249.77450860387611,372.07682453400093,100.0,96.71219703083916,No
Control,Medium Value,218.7268667266686,263.5094797537219,70.46054728951098,64.93405204584639,Yes
Treatment,Medium Value,254.28600751092713,389.50184696082556,56.92302960742848,65.33218806326003,No
Treatment,Low Value,197.96314275226038,310.0148369062279,53.72760812118344,32.906887849419455,Yes
Treatment,Medium Value,172.5640439478116,266.4449986605619,82.75386052807231,69.82160623010195,No
Control,Medium Value,189.6470396755552,221.9213487715787,76.13094527537498,59.3535629400457,Yes
Control,Medium Value,140.72065912806457,162.2374616137737,93.28146717636848,79.42952329393277,No
Control,Low Value,274.59246351835867,328.7935324073339,54.31608719453499,59.03539477551195,No
Control,High Value,268.92526310095127,327.04864420605435,100.0,100.0,No
Control,High Value,90.50420328647323,112.73068346320613,94.90874243152032,100.0,No
Control,Medium Value,265.3131660447529,319.6654365187619,63.87197953000241,54.56099478076138,No
Control,Low Value,114.90768896788113,140.58773571721886,54.107632107159475,45.28556486911267,Yes
Control,Medium Value,232.6783461416444,279.1512328137533,81.77233858693052,85.86059695401217,No
Control,High Value,94.91103283126627,108.8784866188469,83.77613528017189,98.54042646623198,Yes
Treatment,Low Value,164.12190114047567,265.49700321648817,56.567960220919055,65.16897289746989,Yes
Control,High Value,303.8260911376491,359.5862352685562,80.41938129442038,67.77779878665486,Yes
Treatment,High Value,290.9461588323051,466.9408444157351,97.84634464384746,100.0,Yes
Treatment,Low Value,197.0511423746537,311.33910227279375,53.59453078947473,57.98897876411831,No
Treatment,Low Value,219.0361935436745,339.24682360420195,60.49654682794909,55.03503731587107,No
Control,Medium Value,135.93935889848956,154.69882441531493,84.65882285223245,78.32402355137249,No
Control,Medium Value,223.50117387758007,269.7194872320294,75.22736541608408,76.35429608229961,No
Control,High Value,262.60951235632785,314.2027767605217,84.82005516575785,84.47805335103645,Yes
Control,Low Value,300.4804411575955,366.7769826796017,52.20041070819818,61.99341515521835,No
Treatment,Low Value,155.80569977614783,234.94630136428725,35.84196331674312,47.14056987869046,Yes
Control,Medium Value,204.8807189162857,251.77870176986136,73.17827787362718,69.99317461572976,Yes
Control,High Value,229.3145625237473,284.50828904125586,99.60617857940058,100.0,Yes
Control,High Value,257.83865904908504,303.9227621822666,74.67419965899143,84.2162421290167,Yes
Control,Medium Value,248.0562733291428,301.62094831200403,68.26781975768355,54.33604907364477,Yes
Control,Low Value,231.65818430017143,285.22095469855327,53.32403096960018,60.64185333845226,No
Treatment,Medium Value,248.75274346575935,398.1542709470463,76.86537292832143,98.407031669838,Yes
Control,Medium Value,138.16453381357115,171.66991197793732,70.86807549183521,80.31139411351035,Yes
Treatment,Medium Value,74.64838734508524,129.40380694654738,59.25141243409808,65.78886498309622,No
Control,Medium Value,171.31687938116337,205.39624731854948,84.62916372161601,75.44572182989938,Yes
Treatment,Low Value,184.0360425538357,286.0754196895661,40.668538794704716,26.81887414603159,No
Control,Medium Value,167.48821126570934,210.01416388817174,64.68715058726112,62.07767315947747,No
Control,Low Value,165.56188663386624,185.0992726681943,42.721827036549,51.80904216045153,Yes
Treatment,Medium Value,191.99857735448884,296.45534188003063,74.05861342292337,77.44428859393184,Yes
Treatment,High Value,250.630990567677,382.9456416701154,94.76939848189424,100.0,Yes
Treatment,Low Value,140.57248760098017,218.8725791526862,70.24902619495936,60.344944590046275,No
Control,High Value,221.38811858970226,267.79886832076613,72.42039174295866,66.4910900089625,Yes
Treatment,Medium Value,203.70117118922877,321.6469991235115,60.19777122872287,80.25654133479473,Yes
Control,Medium Value,240.31483191939444,288.2318834354134,79.68672645136365,90.39952985792341,Yes
Control,Medium Value,260.02720928154093,312.459668356174,70.14801096460381,59.445862177030406,No
Treatment,Low Value,255.26227072825085,404.4251586813557,50.0496696298734,46.61697684369742,No
Treatment,High Value,177.60860698919797,271.1430368136461,80.15314555371388,79.71659473038649,Yes
Control,Low Value,89.23390237267094,104.60001897125522,53.86694563923689,70.41525704706925,No
Control,Low Value,171.67314631519307,200.37166515076095,57.672489677052766,66.79891708674249,Yes
Treatment,Medium Value,125.51471293887033,194.85584537850005,69.38829649455167,63.52511711281738,Yes
Treatment,High Value,375.50923425312845,570.6314938741401,94.35264990785598,100.0,Yes
Treatment,Medium Value,163.75881155764895,264.97716432855594,54.42813252891986,67.35536935993028,No
Control,Low Value,208.40317629124888,253.88407972252412,61.98217066028947,57.05571590646722,No
Control,Medium Value,257.2621028410533,302.02510548389375,70.291728104919,77.96332618747981,No
Control,High Value,240.9584676039904,296.7531444262975,76.61458651757438,74.8263092698681,No
Control,Medium Value,320.7389164522767,382.5826107334704,74.02291527758838,70.00729049262463,No
Control,High Value,216.0051496298113,253.73104393300005,89.06893311473351,100.0,Yes
Control,High Value,173.12181611634844,209.52114983279498,75.29173876661254,78.16499055589286,No
Treatment,Medium Value,153.75065706606762,225.79225589900724,69.76797745284802,85.39459315839207,Yes
Control,Low Value,219.00184286901802,260.2715771372873,50.08905970352529,53.14968615207197,No
Control,Medium Value,192.84870665050954,233.01676748254155,57.809223317946575,60.560605254290195,Yes
Control,Low Value,146.4305639747237,184.93627516140114,50.83908375068065,50.621448035239546,Yes
Treatment,Low Value,205.11906813119657,310.0329660552224,46.05968036070099,73.9214486470527,Yes
Control,Medium Value,238.60682013761013,278.3087364749733,59.81050324612799,56.45598828751209,No
Control,Low Value,191.58695123775362,227.94378759905356,56.596539746778575,59.168742398849474,Yes
Treatment,Low Value,216.88297314698724,335.18605136031124,54.96409899941634,56.15136590213687,No
Control,Medium Value,205.74426693213445,250.9919739605699,67.66496643366789,60.16230405471416,No
Control,Medium Value,178.16418720981008,222.42588336340694,49.69996379773327,47.81443159053316,No
Control,Medium Value,245.23578757271986,299.8658690738409,70.35990844039934,56.506538680222306,Yes
Control,Low Value,137.61990152792285,162.05549727641701,57.83707786729244,74.1585521419538,No
Control,High Value,162.86036919355232,204.4292430321418,100.0,100.0,No
Treatment,Low Value,237.03430748203326,368.3665175255667,61.004389218574886,73.9214486470527,Yes
Treatment,High Value,200.0685831189468,315.60732551961905,73.8887732607616,55.50635558225035,Yes
Treatment,Medium Value,287.7420648120068,451.26052256897316,63.78280617292977,68.7312143355921,Yes
Control,High Value,271.51358496837514,328.0195084439517,83.6315211885637,96.808959088705,Yes
Control,Medium Value,176.84637524990384,216.831904229774,69.26013467149953,79.35013472786777,Yes
Control,Medium Value,229.84059089677012,280.00239712179734,70.31135738129062,65.11550464808941,No
Treatment,High Value,366.27561088100543,576.6800260068277,100.0,100.0,No
Control,Medium Value,246.89149498317465,292.29360201434054,73.20787232479987,96.40486270210165,No
Control,High Value,261.94921766190805,307.6373966207318,100.0,100.0,No
Treatment,Medium Value,167.22618757103376,265.81665398685175,62.4575105604831,78.04242353662855,Yes
Control,Low Value,262.25872690551205,315.86802848178354,51.25591172043852,54.9915133895887,Yes
Treatment,Low Value,245.0883871932338,387.7427177705532,50.30321325094679,53.45936599936718,Yes
Treatment,Medium Value,177.15771773121077,271.6685596679185,68.34606852468814,76.34946955326508,Yes
Treatment,Medium Value,300.48123664536564,473.6535303889916,55.285946143010385,54.314524333738795,Yes
Control,High Value,254.46948775887506,302.45488218833026,100.0,100.0,No
Control,Low Value,148.28088665371638,175.21329597828398,54.5036337444983,65.45166868704845,Yes
Control,High Value,197.64782952097295,244.22955749960744,74.33006209366759,90.85603387759916,Yes
Control,Medium Value,252.60526982489282,309.08046292122447,59.72087432694995,76.95487853697678,No
Control,Medium Value,165.55688639381438,199.21196238695353,71.94695632070889,70.45285036943633,Yes
Control,High Value,162.0094020578389,191.191371853281,98.68717174794428,100.0,Yes
Control,Medium Value,185.86076916725582,221.71847093193375,78.69238582945903,100.0,No
Treatment,Low Value,167.1480593981227,260.8645638116155,54.56779618906734,52.55969552655669,No
Control,High Value,186.13907069374048,219.85737959511076,96.39984576710455,100.0,Yes
Treatment,Low Value,161.07007586250873,252.62559595245813,56.05010067942868,50.58398810021666,No
Control,Low Value,225.31809996029187,266.8515008219877,53.6019897738819,58.57578831821999,No
Control,Low Value,205.62129696853964,254.58336260257394,52.029200695371344,62.212476563107366,No
Control,High Value,185.96207749895814,208.8598817613866,88.76195473220535,100.0,Yes
Treatment,Medium Value,186.17922182554116,284.3045455301978,68.90518555817476,63.91127015716558,Yes
Treatment,Low Value,170.60401364537503,270.71529068009835,53.74541299884373,49.60801248467912,No
Treatment,Low Value,178.30874580005417,288.50234718548677,56.93952694621703,68.95513403250536,No
Treatment,Low Value,185.51045206556353,284.1156568840329,65.98536175729421,46.31907522059224,No
Control,Medium Value,248.56072828361792,296.0139104347766,60.07745917798249,59.198434949066765,Yes
Treatment,Medium Value,208.7322301400081,328.1842153867039,71.23060768991893,87.7910761601569,No
Control,High Value,233.22893900321694,282.30773302154614,92.4428312617773,78.09002843480309,No
Control,Medium Value,279.0067097233544,334.78493381017597,67.95951741705082,63.39739173948481,Yes
Treatment,High Value,323.94760359794816,510.97795080001265,100.0,100.0,No
Treatment,High Value,158.23455952496585,248.20619896942804,80.99486950746781,63.28331418944403,Yes
Treatment,High Value,138.18229710321137,217.09710434343216,96.34016376017492,79.88402332041021,No
Treatment,High Value,202.00659225284357,327.64566796535826,100.0,100.0,Yes
Treatment,High Value,279.6280078660773,433.5118329939782,93.14271807578433,100.0,No
Treatment,Low Value,203.71475684691396,315.0339247258297,52.22337870557004,66.45821345235699,Yes
Treatment,Medium Value,247.03357757403145,381.7992650978511,74.84260594314985,55.32226662913206,Yes
Treatment,Low Value,167.1668463435787,255.50887074988924,52.01440504057535,64.86835253749315,No
Control,High Value,113.65040023797252,134.62365979382352,80.55064422426287,88.0446233103197,Yes
Treatment,Medium Value,140.3728987691547,212.911648580111,75.1044633393901,73.35117261087318,No
Treatment,Low Value,205.89874036428125,323.4666690172366,57.998590621100504,54.3231953644036,No
Control,Low Value,231.31854084630257,279.39513538032594,53.99749911652805,63.23994678849249,No
Treatment,High Value,122.86694192485803,192.50058377559125,95.20121364736569,73.9214486470527,No
Control,Low Value,251.44619740164842,303.1193853300914,70.47928772050702,76.0,Yes
Control,Low Value,199.63289252712997,243.22348306985273,62.21443777025113,62.585602459224496,Yes
Treatment,Low Value,179.4518839770623,271.51209739799964,47.89004399572472,49.10096530756628,No
Control,Low Value,153.80097131882,185.24056213925755,53.99339475479981,63.761951445439664,Yes
Control,Low Value,252.82737149867688,311.43374863185664,56.50670170292613,54.7378513903669,Yes
Control,High Value,284.1010754697619,336.3134051963752,78.0151762374084,94.70306797008159,No
Control,High Value,254.3295942151632,321.08902027859574,95.90861813958661,85.89954295893143,Yes
Treatment,Low Value,145.63885411176824,223.9316371855139,47.806504213391825,73.9214486470527,Yes
Control,High Value,318.9637493324936,383.400719379217,98.7296943749842,100.0,No
Treatment,High Value,238.4694193094893,373.23105911507554,100.0,100.0,Yes
Control,Medium Value,224.8161423610573,260.05297539721585,69.58202887464886,78.12626579867006,Yes
Control,Low Value,180.74723301633944,211.6278305823595,56.24406510218231,60.61137789844747,No
Control,High Value,180.47953717519988,219.98606631436792,91.70312960906904,97.09213872259042,No
Control,High Value,249.78098738454528,297.1202316733387,77.47984568886244,71.00424115018775,Yes
Treatment,Low Value,212.50873936414493,324.1479396956715,49.39767608201197,51.78204064417786,No
Treatment,Medium Value,184.9454048608236,296.96061593658465,76.00672396338294,60.86942289466989,No
Control,Low Value,198.3556088357375,238.86172090310512,55.00571256052001,70.24889286099965,Yes
Control,Medium Value,203.1619870573969,241.95666258764132,69.20878040288274,91.56001396528802,No
Treatment,Low Value,225.29782738501774,366.72574824183897,61.71268686673115,74.82817401899506,Yes
Control,Low Value,203.84622026439388,243.76688891966612,57.7140246156091,71.56332213528778,Yes
Control,Low Value,190.02162847467412,221.43851563305464,68.58934375922846,76.0,Yes
Control,Low Value,202.9737971040971,240.4847031089765,45.72204898000552,45.084959232692874,No
Treatment,Medium Value,182.65243292223894,285.8775008530173,68.00254609604717,58.500726671169225,No
Treatment,Medium Value,171.82261185611353,270.3590653532548,81.95329742225283,78.45309212933316,No
Treatment,High Value,181.20189302810996,274.8689487384702,100.0,100.0,Yes
Control,Low Value,200.9403218264827,232.54096954503507,46.52056455919723,40.47645273473222,No
Control,Medium Value,193.90206506990893,235.26291953452778,65.05233854855321,74.61686614155853,No
Treatment,Medium Value,199.78215065782763,306.82741606851175,68.9188236776894,78.3198746911321,Yes
Treatment,Medium Value,228.1111874714226,354.6032585672789,83.22336483520195,87.66472627011001,Yes
Treatment,Low Value,235.654105175851,367.05322791523594,53.17842603040446,56.446310057075124,Yes
Treatment,High Value,291.1992413378143,461.20689038046146,86.36925152558338,100.0,No
Control,Medium Value,169.5958025154586,199.34767455428914,67.61203005962211,72.55250035092564,No
Treatment,Low Value,228.2080599425143,366.21113004220746,53.39753130869877,61.06323408005874,No
Control,Medium Value,310.3848361504584,370.5331427812384,74.61389029807442,90.87922622913912,No
Treatment,Medium Value,208.47758623036387,313.17627172429167,89.62892659684792,98.48830030833288,No
Control,High Value,222.0492860712623,258.51528514003365,100.0,100.0,Yes
Treatment,Medium Value,189.19250939379944,285.3888490952934,59.95672445700271,66.41405538284323,Yes
Treatment,Medium Value,152.5947148556618,230.88137954949985,67.5044887685563,76.45257035481909,No
Treatment,Low Value,115.14630577811445,180.25649384820372,76.0,68.15809362993615,No
Treatment,Low Value,188.73709545638735,300.4238180945526,50.422585310595444,68.07368911207128,Yes
Control,High Value,210.7852962651466,236.78876069717185,100.0,100.0,Yes
Treatment,Low Value,225.2504113023162,356.5781072537379,65.59595994954036,74.13652327734084,No
Control,Low Value,211.1061961265345,260.17662753100836,49.900772475402704,49.801143813732295,No
Control,High Value,191.98135475894037,243.0512916458154,89.7963557957543,100.0,No
Control,Medium Value,179.4257946656782,216.81746997870943,78.81755483662342,74.96467936280483,Yes
Control,High Value,193.2635475705923,218.73370194156143,100.0,100.0,No
Treatment,Low Value,277.16045366053373,421.4633994621318,48.95827241190555,52.57470157287559,Yes
Control,High Value,306.0421024419826,372.085723263528,93.70963945586645,100.0,No
Control,Medium Value,203.84622026439388,243.76688891966612,64.50051153525587,70.94002935583408,Yes
Control,High Value,202.10323433531516,237.07564388643743,100.0,100.0,No
Treatment,Low Value,177.1537306159283,264.3715828539285,48.34540354542873,52.54263093498663,Yes
Treatment,Low Value,202.87908480305032,307.48222756573534,54.29584644630543,60.99249630553126,Yes
Treatment,High Value,343.7457232490647,539.2788027157825,82.11659647663483,91.11884174102259,Yes
Treatment,Medium Value,224.4311302297537,352.50278228902056,61.005313250138656,72.32953638784495,Yes
Control,High Value,255.7471874592346,312.20329685668855,84.30022061490621,78.60387639960483,No
Control,Medium Value,82.1425627031117,105.56106320406829,65.81784129557809,51.5241914825904,Yes
Treatment,Medium Value,221.57630320589604,337.2115650830332,84.95043545872402,91.2147211422057,No
Control,High Value,144.93544500278927,178.92380018222119,83.3953234526522,100.0,No
Control,Medium Value,178.45942264512655,208.47909067827055,72.28088373374521,71.990612804069,Yes
Control,Low Value,190.51365538585537,226.9151356295626,47.632911889383514,60.45674051381045,Yes
Treatment,High Value,212.9256456484506,324.12429396748604,99.90089217072244,87.57079888673333,Yes
Treatment,Medium Value,173.75066557963518,275.72426391827486,82.15657177308395,79.82715713276339,Yes
Control,Low Value,157.4124093595147,184.67331805275128,60.50646063462323,64.22803213867786,No
Treatment,High Value,221.6481598544213,349.8268579314853,83.42793407162425,91.2589801436594,Yes
Treatment,Low Value,171.0233487373031,268.89850968395774,47.04630519133264,60.79448630232207,Yes
Treatment,Low Value,188.5165250113174,300.9221812523946,46.254458394413035,36.38753524501887,Yes
Treatment,Low Value,181.8111583202533,286.4775768598949,60.24307371768219,63.00612910621367,No
Treatment,Medium Value,268.6210450380396,432.46103348236056,65.2718351202448,63.46714720288593,Yes
Control,High Value,119.64730261740095,137.96819040405524,98.17907022529234,93.86734329255458,Yes
Treatment,High Value,244.3714610032825,386.5371930945053,78.35427968528887,74.31737885324092,Yes
Control,Medium Value,213.41644735069642,257.3987365094772,68.82351311178274,78.06556161309636,Yes
Control,High Value,226.18654844830135,265.0474588507297,83.93958270270495,91.84621169184456,No
Treatment,Low Value,153.59886241092633,245.11359716613438,47.28495375521729,49.37600294600301,Yes
Control,High Value,221.95753029480767,270.801618763481,66.54339198312643,54.50374034916713,No
Control,Medium Value,122.66710049200594,142.06512633138286,58.765796395992204,62.12201753691094,Yes
Control,Low Value,196.06986469748173,224.98926902189513,61.32182246873837,75.7499207935879,No
Treatment,Medium Value,224.67834461309133,348.1253509091818,63.61665788794658,53.05185732985963,Yes
